Engere Wahl des Bürgermeisters Landeshauptstadt Innsbruck 2024, 28.04.2024 (Bericht wurde generiert am 28.04.2024 um 17:34)
Bezirk_Id;Bezirk;Gemeinde_Id;Gemeinde;Sprengel_Nr;Wahlberechtigte;Abgegebene Stimmen;Wahlbeteiligung;Gültige Stimmen;Ungültige Stimmen;Nr./Kandidat1;Name/Kandidat1;Stimmen/Kandidat1;Prozente/Kandidat1;BGM/Kandidat1;Nr./Kandidat2;Name/Kandidat2;Stimmen/Kandidat2;Prozente/Kandidat2;BGM/Kandidat2;
701;Innsbruck-Stadt;70101;Innsbruck;231;;257;;256;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);69;26,95;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);187;73,05;;
701;Innsbruck-Stadt;70101;Innsbruck;232;;233;;233;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);61;26,18;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);172;73,82;;
701;Innsbruck-Stadt;70101;Innsbruck;240;;205;;205;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);75;36,59;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);130;63,41;;
701;Innsbruck-Stadt;70101;Innsbruck;241;;236;;232;4;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);82;35,34;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);150;64,66;;
701;Innsbruck-Stadt;70101;Innsbruck;242;;283;;281;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);69;24,56;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);212;75,44;;
701;Innsbruck-Stadt;70101;Innsbruck;243;;162;;161;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);55;34,16;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);106;65,84;;
701;Innsbruck-Stadt;70101;Innsbruck;244;;257;;255;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);62;24,31;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);193;75,69;;
701;Innsbruck-Stadt;70101;Innsbruck;245;;225;;222;3;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);66;29,73;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);156;70,27;;
701;Innsbruck-Stadt;70101;Innsbruck;246;;192;;190;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);34;17,89;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);156;82,11;;
701;Innsbruck-Stadt;70101;Innsbruck;250;;297;;296;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);96;32,43;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);200;67,57;;
