Sprengel_Nr,Georg Willi - Die Innsbrucker Grünen - GRÜNE,FPÖ - Rudi Federspiel - FPÖ,"Florian Tursky - Das Neue Innsbruck (Für Innsbruck, Volkspartei, Senioren) - TURSKY",NEOS Innsbruck - NEOS,Liste Fritz - Bürgerforum Tirol - FRITZ,Liste Gerald Depaoli - Gerechtes Innsbruck - Die Unbestechlichen - GERECHT,Alternative Liste Innsbruck - Mesut Onay - ALI,Sozialdemokratische Partei Österreichs - SPÖ,EINIG Innsbruck - Liste Helmut Reichholf - EINIG,JA - Jetzt Innsbruck - Johannes Anzengruber - JA,TUN - Transparente Unabhängige Neue Gesellschaft - TUN,Die Unabhängigen - Innsbruck - DU-I,Kommunistische Partei Österreich (KPÖ) - KPÖ,Gewinner
310,23.46,13.97,10.43,5.21,2.98,2.61,3.91,8.19,0.37,24.02,0.19,0.37,4.28,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
320,19.02,8.78,11.71,2.93,2.93,3.9,5.85,23.9,0.0,8.29,0.98,0.0,11.71,Sozialdemokratische Partei Österreichs - SPÖ
321,19.93,10.78,8.17,4.25,5.23,3.27,9.15,14.71,1.31,13.07,0.0,0.33,9.8,Georg Willi - Die Innsbrucker Grünen - GRÜNE
322,16.31,10.64,11.7,4.61,4.26,1.77,6.03,14.89,1.06,13.83,1.06,0.0,13.83,Georg Willi - Die Innsbrucker Grünen - GRÜNE
323,27.41,14.87,4.08,7.0,5.54,3.79,5.83,12.83,0.87,8.16,0.29,0.0,9.33,Georg Willi - Die Innsbrucker Grünen - GRÜNE
324,20.82,11.23,9.86,3.84,4.93,1.64,7.95,15.62,0.82,12.88,1.64,0.0,8.77,Georg Willi - Die Innsbrucker Grünen - GRÜNE
325,15.2,17.33,10.03,2.74,4.86,3.04,8.81,15.2,0.3,11.25,0.3,1.82,9.12,FPÖ - Rudi Federspiel - FPÖ
330,22.73,7.88,9.09,2.42,3.03,3.64,6.67,15.76,1.21,16.97,0.91,0.61,9.09,Georg Willi - Die Innsbrucker Grünen - GRÜNE
331,17.09,14.17,9.71,4.66,8.93,4.08,3.3,13.98,0.78,17.28,0.58,0.58,4.85,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
332,20.97,9.11,9.32,4.45,5.08,1.91,5.3,11.44,0.64,23.73,0.0,0.21,7.84,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
333,23.74,10.55,9.35,3.36,6.95,2.64,4.8,13.91,1.44,15.59,0.96,0.48,6.24,Georg Willi - Die Innsbrucker Grünen - GRÜNE
334,19.76,12.85,10.87,4.55,5.73,2.57,3.36,14.82,0.4,15.02,0.59,0.2,9.29,Georg Willi - Die Innsbrucker Grünen - GRÜNE
